quarter,time_dk,spot_price_eur,pred_imbalance_eur,pred_spread_eur,q10_price_eur,q90_price_eur,quantile_range,p_ratio,bid_action,bid_limit_price_eur,bid_volume_mw,status
Q18,2026-09-21 04:15,10.0,5.54,-4.46,-23.64,145.72,€-23.6 - €145.7,16.7% Up / 59.9% Dn,SELL Spot (Short),7.77,5.6,Fixed Pre-Auction Bid
Q19,2026-09-21 04:30,16.22,14.32,-1.9,-30.1,81.86,€-30.1 - €81.9,18.7% Up / 60.4% Dn,SELL Spot (Short),15.27,2.0,Fixed Pre-Auction Bid
Q20,2026-09-21 04:45,21.53,23.7,2.17,-29.07,97.38,€-29.1 - €97.4,18.7% Up / 61.4% Dn,BUY Spot (Long),22.62,1.0,Fixed Pre-Auction Bid
Q21,2026-09-21 05:00,15.5,20.33,4.83,-31.77,244.13,€-31.8 - €244.1,19.8% Up / 59.1% Dn,BUY Spot (Long),17.91,1.0,Fixed Pre-Auction Bid
Q22,2026-09-21 05:15,24.74,26.14,1.4,-28.23,121.46,€-28.2 - €121.5,19.0% Up / 57.2% Dn,BUY Spot (Long),25.44,1.0,Fixed Pre-Auction Bid
Q23,2026-09-21 05:30,33.45,30.65,-2.8,-26.25,131.59,€-26.2 - €131.6,18.7% Up / 56.9% Dn,SELL Spot (Short),32.05,3.2,Fixed Pre-Auction Bid
Q24,2026-09-21 05:45,50.89,41.85,-9.04,-15.64,136.92,€-15.6 - €136.9,24.3% Up / 38.1% Dn,SELL Spot (Short),46.37,6.1,Fixed Pre-Auction Bid
Q25,2026-09-21 06:00,63.34,54.44,-8.9,-21.49,122.42,€-21.5 - €122.4,25.8% Up / 35.3% Dn,SELL Spot (Short),58.89,5.3,Fixed Pre-Auction Bid
Q26,2026-09-21 06:15,101.31,94.2,-7.11,-17.43,160.95,€-17.4 - €160.9,29.7% Up / 37.4% Dn,SELL Spot (Short),97.75,5.2,Fixed Pre-Auction Bid
Q27,2026-09-21 06:30,112.23,100.95,-11.28,-13.09,185.86,€-13.1 - €185.9,37.9% Up / 34.7% Dn,SELL Spot (Short),107.23,5.1,Fixed Pre-Auction Bid
Q28,2026-09-21 06:45,131.02,148.44,17.42,-5.67,222.02,€-5.7 - €222.0,26.9% Up / 47.8% Dn,BUY Spot (Long),136.02,2.9,Fixed Pre-Auction Bid
Q29,2026-09-21 07:00,140.86,158.01,17.15,10.67,179.92,€10.7 - €179.9,16.8% Up / 54.5% Dn,BUY Spot (Long),145.86,1.0,Fixed Pre-Auction Bid
