quarter_utc,batch_start_utc,deadline_utc,as_of_trade,label_known_at,spread,exp_spread,p_up,p_down,p_flat,q10,q50,q90,prov_exp_spread,prov_p_up,last_spread,spread_qod_mean7,action,mwh,edge,reason,gross_eur,cost_eur,net_eur,area,book
2025-12-23 07:30:00,2025-12-23 07:00:00,2025-12-23 04:45:00,2025-12-23 04:30:00,2025-12-23 08:30:00,0.0,0.46816619270326615,0.21449436379145773,0.6424333395608703,0.14307229664767201,-78.19049779409421,-3.3711583035896884,101.68704603474116,5.039186141756083,0.23312303359742184,0.0,18.238569532121932,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 07:45:00,2025-12-23 07:00:00,2025-12-23 04:45:00,2025-12-23 04:30:00,2025-12-23 08:45:00,18.230003356933594,34.511142073116524,0.2528092125956618,0.5521027264332135,0.19508806097112458,-78.98405087733879,-9.415742090971904,124.5736446452236,33.46333604519225,0.26528153003886296,0.0,46.747144426618306,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 08:00:00,2025-12-23 07:00:00,2025-12-23 04:45:00,2025-12-23 04:30:00,2025-12-23 09:00:00,28.8800048828125,42.38343262153674,0.2247848149283819,0.5794499364441973,0.1957652486274208,-78.35085124165005,-5.342632332782102,167.80653677425445,50.71962793012705,0.24260872541287706,0.0,-10.051428658621651,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 08:15:00,2025-12-23 07:00:00,2025-12-23 04:45:00,2025-12-23 04:30:00,2025-12-23 09:15:00,65.3699951171875,38.592022625786036,0.24110983106846598,0.5035655885082606,0.2553245804232734,-79.40887109167494,-1.5275369262024296,164.66801729310438,50.246698909848725,0.24912584185203218,0.0,-1.2428577968052454,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 08:30:00,2025-12-23 07:00:00,2025-12-23 04:45:00,2025-12-23 04:30:00,2025-12-23 09:30:00,24.18000030517578,18.927014635842706,0.19697451514936945,0.5400813467940793,0.2629441380565512,-80.6428744190821,-11.28453400791358,155.02971541399324,27.63725173223833,0.20171748065932263,0.0,-18.974286215645925,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 08:45:00,2025-12-23 07:00:00,2025-12-23 04:45:00,2025-12-23 04:30:00,2025-12-23 09:45:00,0.0,31.64396115759517,0.26632245319669173,0.6280362305258759,0.10564131627743238,-75.92148954563012,-19.482880747211063,155.36216413506904,47.00479884436465,0.3066726911537887,0.0,9.312857491629464,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 09:00:00,2025-12-23 09:00:00,2025-12-23 06:45:00,2025-12-23 06:30:00,2025-12-23 10:00:00,-67.36000061035156,19.614882745295816,0.191691356921011,0.669648834565615,0.13865980851337414,-77.97040866985651,4.857341925770623,178.6560667794476,26.196005792360918,0.20738935771972852,-37.68000030517578,32.135714939662385,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 09:15:00,2025-12-23 09:00:00,2025-12-23 06:45:00,2025-12-23 06:30:00,2025-12-23 10:15:00,-48.79999542236328,4.3694238631807645,0.1935449544208724,0.6115248414080793,0.19493020417104842,-81.4985551383818,12.550563064207987,154.5500469167842,1.329338645576726,0.18290922616837998,-37.68000030517578,23.534285409109934,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 09:30:00,2025-12-23 09:00:00,2025-12-23 06:45:00,2025-12-23 06:30:00,2025-12-23 10:30:00,-40.630001068115234,42.6911163818941,0.30866187520765853,0.5342495422906963,0.1570885825016451,-79.10705414268246,-13.402582461113123,153.18365566192313,25.48939281528501,0.2509823988719625,-37.68000030517578,27.66714368547712,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 09:45:00,2025-12-23 09:00:00,2025-12-23 06:45:00,2025-12-23 06:30:00,2025-12-23 10:45:00,-21.369998931884766,116.57460828225209,0.38935456339339003,0.48832745153599066,0.12231798507061921,-78.78379915131966,-1.5874514212363267,244.98585034133396,91.93796610930626,0.3368298724366554,-37.68000030517578,-0.6414274488176618,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 10:00:00,2025-12-23 09:00:00,2025-12-23 06:45:00,2025-12-23 06:30:00,2025-12-23 11:00:00,-26.15999984741211,105.4384959400129,0.27679458736693935,0.4585700974803519,0.2646353151527089,-82.3203378848968,-10.89208624794022,137.17536519264095,74.66339557304063,0.2069681345567605,-37.68000030517578,-7.931428636823382,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 10:15:00,2025-12-23 09:00:00,2025-12-23 06:45:00,2025-12-23 06:30:00,2025-12-23 11:15:00,0.0,94.38577290596973,0.4071605943199319,0.5146838715234829,0.07815553415658515,-81.05259205434713,-14.468524906890458,126.6594384487402,82.77811638873455,0.3430151852726056,-37.68000030517578,-23.435713495526993,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 10:30:00,2025-12-23 09:00:00,2025-12-23 06:45:00,2025-12-23 06:30:00,2025-12-23 11:30:00,124.18999481201172,154.1579311392474,0.4111532134719315,0.4825376053003469,0.1063091812277215,-79.51822248551612,0.5917421220513208,224.98842245979074,145.60972179021118,0.37109757976978247,-37.68000030517578,-24.175713402884348,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 10:45:00,2025-12-23 09:00:00,2025-12-23 06:45:00,2025-12-23 06:30:00,2025-12-23 11:45:00,87.69999694824219,79.33696520396072,0.36017338968350093,0.5451604793610454,0.09466613095545383,-79.3261291235423,3.190589759003653,208.97089373520598,75.39543784550129,0.30817989237268756,-37.68000030517578,-36.74285670689174,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 11:00:00,2025-12-23 11:00:00,2025-12-23 08:45:00,2025-12-23 08:30:00,2025-12-23 12:00:00,72.6199951171875,60.93982623371568,0.2884871239338138,0.47725129680728445,0.23426157925890168,-81.57773630558822,-0.1542733169460624,186.93681824549904,58.94533358013675,0.27147733063113194,0.0,-26.397142682756698,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 11:15:00,2025-12-23 11:00:00,2025-12-23 08:45:00,2025-12-23 08:30:00,2025-12-23 12:15:00,47.18999481201172,64.80123851069922,0.31282997106367716,0.6067519093896611,0.08041811954666177,-84.22590382961144,-7.776228906269039,192.44022501214178,76.13269596541228,0.30965627676311586,0.0,-35.908569880894255,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
2025-12-23 11:30:00,2025-12-23 11:00:00,2025-12-23 08:45:00,2025-12-23 08:30:00,2025-12-23 12:30:00,0.0,109.61984440447955,0.33114577059439565,0.5098876795836103,0.1589665498219941,-78.6651792094025,4.43834077208184,184.84403544242886,117.04156867783624,0.35093201527953033,0.0,-16.974285670689174,HOLD,0.0,0.0,model has no validated edge,0.0,0.0,0.0,DK1,replay:DK1:a9b2a9a1
